inn,href,revenue
2901134250,https://bo.nalog.ru/organizations-card/1587262,45.0
3906966254,https://bo.nalog.ru/organizations-card/9318291,768.5
304001711,https://bo.nalog.ru/organizations-card/4595446,23.8
7714025229,https://bo.nalog.ru/organizations-card/4444003,1514.7
6670026460,https://bo.nalog.ru/organizations-card/4845673,25.1
7717530075,https://bo.nalog.ru/organizations-card/2162405,43.8
4717007455,https://bo.nalog.ru/organizations-card/2019110,0
4704096514,https://bo.nalog.ru/organizations-card/9048217,520.0
3442122498,https://bo.nalog.ru/organizations-card/7479223,319.5
7802173868,https://bo.nalog.ru/organizations-card/6485220,422.5
7460036513,https://bo.nalog.ru/organizations-card/10276472,0.0
6154113654,https://bo.nalog.ru/organizations-card/3620843,0.0
5038104720,https://bo.nalog.ru/organizations-card/8475376,0.0
7724245093,https://bo.nalog.ru/organizations-card/7091362,54.4
3442123614,https://bo.nalog.ru/organizations-card/7667353,1544.8
6658360684,https://bo.nalog.ru/organizations-card/964369,0.0
7708249990,https://bo.nalog.ru/organizations-card/9133767,240.0
7718828562,https://bo.nalog.ru/organizations-card/2871087,0
5003090107,https://bo.nalog.ru/organizations-card/4097702,0.0
5603018335,https://bo.nalog.ru/organizations-card/2622530,7.3
6122008907,https://bo.nalog.ru/organizations-card/2468695,0.0
7704265623,https://bo.nalog.ru/organizations-card/6429280,0.0
7107506593,https://bo.nalog.ru/organizations-card/3999596,9.9
7302000384,https://bo.nalog.ru/organizations-card/7020126,307.5
5030043120,https://bo.nalog.ru/organizations-card/7169308,11.4
7701996625,https://bo.nalog.ru/organizations-card/7883294,7.3
7814605262,https://bo.nalog.ru/organizations-card/8425314,881.7
7723869250,https://bo.nalog.ru/organizations-card/7917532,0.0
5190030225,https://bo.nalog.ru/organizations-card/8342321,101.0
6316186352,https://bo.nalog.ru/organizations-card/7890254,9.1
2222791318,https://bo.nalog.ru/organizations-card/3990337,110.8
7706728997,https://bo.nalog.ru/organizations-card/2616781,26.7
8616011156,https://bo.nalog.ru/organizations-card/3266087,132.0
1500000240,https://bo.nalog.ru/organizations-card/11230917,1759.4
6317108163,https://bo.nalog.ru/organizations-card/9352827,471.1
5906044775,https://bo.nalog.ru/organizations-card/6208514,506.9
5029042549,https://bo.nalog.ru/organizations-card/5896194,2205.9
1659118824,https://bo.nalog.ru/organizations-card/930345,69.0
7725586106,https://bo.nalog.ru/organizations-card/3057756,494.9
6125021399,https://bo.nalog.ru/organizations-card/4372234,232.1
5321171906,https://bo.nalog.ru/organizations-card/8923758,0.0
7813115096,https://bo.nalog.ru/organizations-card/7050184,907.8
2127027656,https://bo.nalog.ru/organizations-card/6182902,0.0
6316190599,https://bo.nalog.ru/organizations-card/8062232,0.0
409000930,https://bo.nalog.ru/organizations-card/9212335,630.9
6453141378,https://bo.nalog.ru/organizations-card/9289015,0.0
4825037471,https://bo.nalog.ru/organizations-card/3529493,409.5
5902161372,https://bo.nalog.ru/organizations-card/670193,694.8
7709793850,https://bo.nalog.ru/organizations-card/2799827,8.5
7701733908,https://bo.nalog.ru/organizations-card/5791869,654.1
7701304627,https://bo.nalog.ru/organizations-card/6628739,22.8
3906236804,https://bo.nalog.ru/organizations-card/4742020,3.2
8602009407,https://bo.nalog.ru/organizations-card/194361,1.6
4027064168,https://bo.nalog.ru/organizations-card/503570,519.5
7707701540,https://bo.nalog.ru/organizations-card/2276684,201.5
1420004585,https://bo.nalog.ru/organizations-card/47687,0.0
7743920314,https://bo.nalog.ru/organizations-card/8430031,0.0
4212040073,https://bo.nalog.ru/organizations-card/10476987,196.3
919003505,https://bo.nalog.ru/organizations-card/7390495,117.3
2460092678,https://bo.nalog.ru/organizations-card/9487023,352.5
5012048408,https://bo.nalog.ru/organizations-card/666637,275.0
5029156352,https://bo.nalog.ru/organizations-card/1279200,61.1
5047005973,https://bo.nalog.ru/organizations-card/6899105,259.7
3528102180,https://bo.nalog.ru/organizations-card/245977,0.0
7329006947,https://bo.nalog.ru/organizations-card/1271891,0.0
7725403514,https://bo.nalog.ru/organizations-card/10448037,44.5
6730064671,https://bo.nalog.ru/organizations-card/1318095,0.0
6453110490,https://bo.nalog.ru/organizations-card/431985,188.8
7730276981,https://bo.nalog.ru/organizations-card/11821626,0.0
5406164834,https://bo.nalog.ru/organizations-card/6041485,375.5
6382000434,https://bo.nalog.ru/organizations-card/6323707,139.8
6449967813,https://bo.nalog.ru/organizations-card/1782192,8.3
5028027080,https://bo.nalog.ru/organizations-card/1850446,674.0
275079453,https://bo.nalog.ru/organizations-card/7622973,393.2
7725241687,https://bo.nalog.ru/organizations-card/5178334,6.4
7701280302,https://bo.nalog.ru/organizations-card/7148220,0.0
7704762488,https://bo.nalog.ru/organizations-card/1990082,1.5
1655376648,https://bo.nalog.ru/organizations-card/10017528,1011.3
5403357387,https://bo.nalog.ru/organizations-card/8446782,0.0
5024037961,https://bo.nalog.ru/organizations-card/5935810,551.2
6166059634,https://bo.nalog.ru/organizations-card/1333882,0.0
7711002304,https://bo.nalog.ru/organizations-card/2999150,0.0
2310103659,https://bo.nalog.ru/organizations-card/1280040,0.0
2407062290,https://bo.nalog.ru/organizations-card/6388429,1.6
7536103748,https://bo.nalog.ru/organizations-card/15497,0.0
7451213318,https://bo.nalog.ru/organizations-card/1933111,430.4
3234029917,https://bo.nalog.ru/organizations-card/609948,23.4
5834000504,https://bo.nalog.ru/organizations-card/2682047,95.5
6673123166,https://bo.nalog.ru/organizations-card/2697849,0.0
5010040940,https://bo.nalog.ru/organizations-card/1013110,0.0
7736248148,https://bo.nalog.ru/organizations-card/9298650,0.0
3525090786,https://bo.nalog.ru/organizations-card/6839260,0.0
2539112357,https://bo.nalog.ru/organizations-card/2950595,0.0
3249004552,https://bo.nalog.ru/organizations-card/525774,60.0
4720021883,https://bo.nalog.ru/organizations-card/86987,27.8
7804525145,https://bo.nalog.ru/organizations-card/8335273,0
4205175489,https://bo.nalog.ru/organizations-card/1624635,568.7
7727832910,https://bo.nalog.ru/organizations-card/8485538,35.4
724001030,https://bo.nalog.ru/organizations-card/3702599,4.7
7718857612,https://bo.nalog.ru/organizations-card/3523972,116.0
7729658560,https://bo.nalog.ru/organizations-card/16896,0.0
7703737270,https://bo.nalog.ru/organizations-card/2439216,0.0
7802571001,https://bo.nalog.ru/organizations-card/9689739,140.1
5005050967,https://bo.nalog.ru/organizations-card/3486318,0.0
7714580617,https://bo.nalog.ru/organizations-card/3605895,0.0
7730675672,https://bo.nalog.ru/organizations-card/7619422,279.1
3446002628,https://bo.nalog.ru/organizations-card/5566065,303.0
7810380603,https://bo.nalog.ru/organizations-card/9407324,1975.3
2901009852,https://bo.nalog.ru/organizations-card/10358773,23.4
5047175541,https://bo.nalog.ru/organizations-card/9453017,2.5
5501259412,https://bo.nalog.ru/organizations-card/8779640,391.8
7606047680,https://bo.nalog.ru/organizations-card/2216152,5.1
7704760917,https://bo.nalog.ru/organizations-card/1983651,0.0
2723060453,https://bo.nalog.ru/organizations-card/5662826,119.5
7453235959,https://bo.nalog.ru/organizations-card/648692,99.0
6453140261,https://bo.nalog.ru/organizations-card/9192441,11.2
4703070175,https://bo.nalog.ru/organizations-card/7230064,68.4
7730544197,https://bo.nalog.ru/organizations-card/2976457,237.4
3249501956,https://bo.nalog.ru/organizations-card/2260300,1.5
5048034818,https://bo.nalog.ru/organizations-card/9153334,219.0
7608030080,https://bo.nalog.ru/organizations-card/10279918,574.9
